mm_engine  | [2026-02-23T17:46:29Z WARN  mm_engine_rs::execution] [RECONCILE] VVV internal=0.000000 live=6.250000 delta=6.250000 (dark fill detected)
mm_engine  | [2026-02-23T17:46:29Z WARN  mm_engine_rs::execution] [RECONCILE] PROMPT internal=0.000000 live=228.000000 delta=228.000000 (dark fill detected)
mm_engine  | [2026-02-23T17:46:31Z WARN  mm_engine_rs::execution] [FLUSH] Orphaned position detected: VVV (6.2500 coins). Closing via Maker order @ $3.824800...
mm_engine  | [2026-02-23T17:46:32Z INFO  mm_engine_rs::execution] [FLUSH] Successfully placed maker-close for VVV.
mm_engine  | [2026-02-23T17:46:32Z WARN  mm_engine_rs::execution] [FLUSH] Orphaned position detected: PROMPT (228.0000 coins). Closing via Maker order @ $0.052372...
mm_engine  | [2026-02-23T17:46:32Z INFO  mm_engine_rs::exchange] [CANCEL COIN] PROMPT — cancelled 1/1
mm_engine  | [2026-02-23T17:46:33Z INFO  mm_engine_rs::execution] [FLUSH] Successfully placed maker-close for PROMPT.
mm_engine  | [2026-02-23T17:46:49Z INFO  mm_engine_rs] [STICKY-DEBUG] PROMPT not sticky: q_len=2 o_len=0 all_s=false
mm_engine  | [2026-02-23T17:46:51Z INFO  mm_engine_rs] [LIVE] PROMPT bid L1 @ 0.052037 sz=229.4850 coins ($12.00)
mm_engine  | [2026-02-23T17:46:51Z INFO  mm_engine_rs] [LIVE] PROMPT ask L1 @ 0.052299 sz=229.4850 coins ($12.00)
mm_engine  | [2026-02-23T17:46:51Z INFO  mm_engine_rs] [LIVE QUOTE] PROMPT mid=0.0523 inv=$11.92 placed=2/2 errors=0 regime=1.00x
mm_engine  | [2026-02-23T17:46:51Z WARN  mm_engine_rs] [LIVE] VVV inventory $23.90 > max $20.00 (LONG) — Suppressing BIDS to reduce risk.
mm_engine  | [2026-02-23T17:46:52Z INFO  mm_engine_rs] [STICKY-DEBUG] VVV not sticky: q_len=1 o_len=0 all_s=false
mm_engine  | [2026-02-23T17:46:53Z INFO  mm_engine_rs] [LIVE] VVV ask L1 @ 3.823900 sz=3.1386 coins ($12.00)
mm_engine  | [2026-02-23T17:46:53Z INFO  mm_engine_rs] [LIVE QUOTE] VVV mid=3.8233 inv=$23.90 placed=1/1 errors=0 regime=1.00x
mm_engine  | [2026-02-23T17:46:53Z WARN  mm_engine_rs] [LIVE] VVV inventory $23.89 > max $20.00 (LONG) — Suppressing BIDS to reduce risk.
mm_engine  | [2026-02-23T17:46:53Z INFO  mm_engine_rs] [STICKY-DEBUG] VVV not sticky: q_len=1 o_len=0 all_s=false
mm_engine  | [2026-02-23T17:46:54Z INFO  mm_engine_rs] [LIVE] VVV ask L1 @ 3.822500 sz=3.1398 coins ($12.00)
mm_engine  | [2026-02-23T17:46:54Z INFO  mm_engine_rs] [LIVE QUOTE] VVV mid=3.8220 inv=$23.89 placed=1/1 errors=0 regime=1.00x
mm_engine  | [2026-02-23T17:46:54Z INFO  mm_engine_rs] [STICKY] PROMPT orders are within 20% of target. Skipping reset. threshold=0.000010
mm_engine  | [2026-02-23T17:46:54Z WARN  mm_engine_rs] [LIVE] VVV inventory $23.89 > max $20.00 (LONG) — Suppressing BIDS to reduce risk.
mm_engine  | [2026-02-23T17:46:54Z INFO  mm_engine_rs] [STICKY] VVV orders are within 20% of target. Skipping reset. threshold=0.000382
